--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 157800 rows. Loading a random sample of 157800 rows.
Dataset loaded. Final shape: (157800, 63)
Dataset Columns: Index(['frame.time', 'ip.src_host', 'ip.dst_host', 'arp.dst.proto_ipv4',
       'arp.opcode', 'arp.hw.size', 'arp.src.proto_ipv4', 'icmp.checksum',
       'icmp.seq_le', 'icmp.transmit_timestamp', 'icmp.unused',
       'http.file_data', 'http.content_length', 'http.request.uri.query',
       'http.request.method', 'http.referer', 'http.request.full_uri',
       'http.request.version', 'http.response', 'http.tls_port', 'tcp.ack',
       'tcp.ack_raw', 'tcp.checksum', 'tcp.connection.fin',
       'tcp.connection.rst', 'tcp.connection.syn', 'tcp.connection.synack',
       'tcp.dstport', 'tcp.flags', 'tcp.flags.ack', 'tcp.len', 'tcp.options',
       'tcp.payload', 'tcp.seq', 'tcp.srcport', 'udp.port', 'udp.stream',
       'udp.time_delta', 'dns.qry.name', 'dns.qry.name.len', 'dns.qry.qu',
       'dns.qry.type', 'dns.retransmission', 'dns.retransmit_request',
       'dns.retransmit_request_in', 'mqtt.conack.flags',
       'mqtt.conflag.cleansess', 'mqtt.conflags', 'mqtt.hdrflags', 'mqtt.len',
       'mqtt.msg_decoded_as', 'mqtt.msg', 'mqtt.msgtype', 'mqtt.proto_len',
       'mqtt.protoname', 'mqtt.topic', 'mqtt.topic_len', 'mqtt.ver',
       'mbtcp.len', 'mbtcp.trans_id', 'mbtcp.unit_id', 'Attack_label',
       'Attack_type'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (126240, 8)
X_test shape: (31560, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 1.47 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (1262 iterations for a training set of size 126240).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(3.246746566534643), tensor(1, requires_grad=False): np.float64(0.5910167698199421)}
Parameters initialized. Starting training for 1262 iterations with batch size 100.
Iter:    10 | Batch Cost: 0.7508209 | Batch Acc: 0.9000000
Iter:    20 | Batch Cost: 1.1030289 | Batch Acc: 0.2800000
Iter:    30 | Batch Cost: 1.1303939 | Batch Acc: 0.3600000
Iter:    40 | Batch Cost: 0.8634582 | Batch Acc: 0.5900000
Iter:    50 | Batch Cost: 0.9684311 | Batch Acc: 0.6500000
Iter:    60 | Batch Cost: 0.7989897 | Batch Acc: 0.7100000
Iter:    70 | Batch Cost: 0.9376395 | Batch Acc: 0.6600000
Iter:    80 | Batch Cost: 0.9185910 | Batch Acc: 0.6600000
Iter:    90 | Batch Cost: 0.7218886 | Batch Acc: 0.7200000
Iter:   100 | Batch Cost: 0.8947215 | Batch Acc: 0.6600000
Iter:   110 | Batch Cost: 0.9229120 | Batch Acc: 0.6800000
Iter:   120 | Batch Cost: 0.8159328 | Batch Acc: 0.7700000
Iter:   130 | Batch Cost: 1.1856012 | Batch Acc: 0.3000000
Iter:   140 | Batch Cost: 1.0529792 | Batch Acc: 0.6500000
Iter:   150 | Batch Cost: 0.8094633 | Batch Acc: 0.7500000
Iter:   160 | Batch Cost: 1.0010203 | Batch Acc: 0.7100000
Iter:   170 | Batch Cost: 0.9931288 | Batch Acc: 0.6400000
Iter:   180 | Batch Cost: 0.6737717 | Batch Acc: 0.7900000
Iter:   190 | Batch Cost: 0.6680360 | Batch Acc: 0.7600000
Iter:   200 | Batch Cost: 1.2776843 | Batch Acc: 0.2500000
Iter:   210 | Batch Cost: 0.8602303 | Batch Acc: 0.7000000
Iter:   220 | Batch Cost: 1.0473620 | Batch Acc: 0.6500000
Iter:   230 | Batch Cost: 0.6838459 | Batch Acc: 0.7400000
Iter:   240 | Batch Cost: 0.8915720 | Batch Acc: 0.7200000
Iter:   250 | Batch Cost: 0.8126328 | Batch Acc: 0.7800000
Iter:   260 | Batch Cost: 0.8293855 | Batch Acc: 0.7000000
Iter:   270 | Batch Cost: 0.9470125 | Batch Acc: 0.6900000
Iter:   280 | Batch Cost: 1.0100336 | Batch Acc: 0.7300000
Iter:   290 | Batch Cost: 0.8645287 | Batch Acc: 0.7800000
Iter:   300 | Batch Cost: 0.8123326 | Batch Acc: 0.8600000
Iter:   310 | Batch Cost: 0.8940968 | Batch Acc: 0.7700000
Iter:   320 | Batch Cost: 0.8112121 | Batch Acc: 0.7000000
Iter:   330 | Batch Cost: 1.1947892 | Batch Acc: 0.3200000
Iter:   340 | Batch Cost: 0.8107392 | Batch Acc: 0.7100000
Iter:   350 | Batch Cost: 1.0131555 | Batch Acc: 0.6300000
Iter:   360 | Batch Cost: 0.8581531 | Batch Acc: 0.6800000
Iter:   370 | Batch Cost: 0.7535557 | Batch Acc: 0.7500000
Iter:   380 | Batch Cost: 0.9286465 | Batch Acc: 0.7600000
Iter:   390 | Batch Cost: 1.0842307 | Batch Acc: 0.4500000
Iter:   400 | Batch Cost: 0.8706988 | Batch Acc: 0.7500000
Iter:   410 | Batch Cost: 0.9376263 | Batch Acc: 0.7100000
Iter:   420 | Batch Cost: 0.6931994 | Batch Acc: 0.7700000
Iter:   430 | Batch Cost: 0.8092053 | Batch Acc: 0.7200000
Iter:   440 | Batch Cost: 0.9908685 | Batch Acc: 0.6700000
Iter:   450 | Batch Cost: 1.1298886 | Batch Acc: 0.3500000
Iter:   460 | Batch Cost: 0.9369272 | Batch Acc: 0.6500000
